Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
Brazil,Scotland,2,1,1,1,0,Group
Morocco,Norway,2,2,0,0,0,Group
Italy,Chile,2,2,0,0,0,Group
Cameroon,Austria,1,1,0,0,0,Group
Paraguay,Bulgaria,0,0,0,0,0,Group
SaudiArabia,Denmark,0,1,-1,0,1,Group
France,SouthAfrica,3,0,3,1,0,Group
Spain,Nigeria,2,3,-1,0,1,Group
Korea,Mexico,1,3,-2,0,1,Group
Netherlands,Belgium,0,0,0,0,0,Group
Argentina,Japan,1,0,1,1,0,Group
Yugoslavia,Iran,1,0,1,1,0,Group
Jamaica,Croatia,1,3,-2,0,1,Group
England,Tunisia,2,0,2,1,0,Group
Romania,Colombia,1,0,1,1,0,Group
Germany,UnitedStates,2,0,2,1,0,Group
Scotland,Norway,1,1,0,0,0,Group
Brazil,Morocco,3,0,3,1,0,Group
Chile,Austria,1,1,0,0,0,Group
Italy,Cameroon,3,0,3,1,0,Group
SouthAfrica,Denmark,1,1,0,0,0,Group
France,SaudiArabia,4,0,4,1,0,Group
Nigeria,Bulgaria,1,0,1,1,0,Group
Spain,Paraguay,0,0,0,0,0,Group
Japan,Croatia,0,1,-1,0,1,Group
Belgium,Mexico,2,2,0,0,0,Group
Netherlands,Korea,5,0,5,1,0,Group
Germany,Yugoslavia,2,2,0,0,0,Group
Argentina,Jamaica,5,0,5,1,0,Group
UnitedStates,Iran,1,2,-1,0,1,Group
Colombia,Tunisia,1,0,1,1,0,Group
Romania,England,2,1,1,1,0,Group
Italy,Austria,2,1,1,1,0,Group
Chile,Cameroon,1,1,0,0,0,Group
Scotland,Morocco,0,3,-3,0,1,Group
Brazil,Norway,1,2,-1,0,1,Group
France,Denmark,2,1,1,1,0,Group
SouthAfrica,SaudiArabia,2,2,0,0,0,Group
Spain,Bulgaria,6,1,5,1,0,Group
Nigeria,Paraguay,1,3,-2,0,1,Group
Belgium,Korea,1,1,0,0,0,Group
Netherlands,Mexico,2,2,0,0,0,Group
Germany,Iran,2,0,2,1,0,Group
UnitedStates,Yugoslavia,0,1,-1,0,1,Group
Japan,Jamaica,1,2,-1,0,1,Group
Argentina,Croatia,1,0,1,1,0,Group
Romania,Tunisia,1,1,0,0,0,Group
Colombia,England,0,2,-2,0,1,Group
Italy,Norway,1,0,1,1,0,Round of Sixteen
Brazil,Chile,4,1,3,1,0,Round of Sixteen
France,Paraguay,1,0,1,1,0,Round of Sixteen
Nigeria,Denmark,1,4,-3,0,1,Round of Sixteen
Germany,Mexico,2,1,1,1,0,Round of Sixteen
Netherlands,Yugoslavia,2,1,1,1,0,Round of Sixteen
Romania,Croatia,0,1,-1,0,1,Round of Sixteen
Argentina,England,2,2,0,0,0,Round of Sixteen
Italy,France,0,0,0,0,0,Quarter Finals
Brazil,Denmark,3,2,1,1,0,Quarter Finals
Netherlands,Argentina,2,1,1,1,0,Quarter Finals
Germany,Croatia,0,3,-3,0,1,Quarter Finals
Brazil,Netherlands,1,1,0,0,0,Semi Finals
France,Croatia,2,1,1,1,0,Semi Finals
Netherlands,Croatia,1,2,-1,0,1,Fourth Place
Brazil,France,0,3,-3,0,1,Runner-Up
Scotland,Brazil,1,2,-1,0,1,Group
Norway,Morocco,2,2,0,0,0,Group
Chile,Italy,2,2,0,0,0,Group
Austria,Cameroon,1,1,0,0,0,Group
Bulgaria,Paraguay,0,0,0,0,0,Group
Denmark,SaudiArabia,1,0,1,1,0,Group
SouthAfrica,France,0,3,-3,0,1,Group
Nigeria,Spain,3,2,1,1,0,Group
Mexico,Korea,3,1,2,1,0,Group
Belgium,Netherlands,0,0,0,0,0,Group
Japan,Argentina,0,1,-1,0,1,Group
Iran,Yugoslavia,0,1,-1,0,1,Group
Croatia,Jamaica,3,1,2,1,0,Group
Tunisia,England,0,2,-2,0,1,Group
Colombia,Romania,0,1,-1,0,1,Group
UnitedStates,Germany,0,2,-2,0,1,Group
Norway,Scotland,1,1,0,0,0,Group
Morocco,Brazil,0,3,-3,0,1,Group
Austria,Chile,1,1,0,0,0,Group
Cameroon,Italy,0,3,-3,0,1,Group
Denmark,SouthAfrica,1,1,0,0,0,Group
SaudiArabia,France,0,4,-4,0,1,Group
Bulgaria,Nigeria,0,1,-1,0,1,Group
Paraguay,Spain,0,0,0,0,0,Group
Croatia,Japan,1,0,1,1,0,Group
Mexico,Belgium,2,2,0,0,0,Group
Korea,Netherlands,0,5,-5,0,1,Group
Yugoslavia,Germany,2,2,0,0,0,Group
Jamaica,Argentina,0,5,-5,0,1,Group
Iran,UnitedStates,2,1,1,1,0,Group
Tunisia,Colombia,0,1,-1,0,1,Group
England,Romania,1,2,-1,0,1,Group
Austria,Italy,1,2,-1,0,1,Group
Cameroon,Chile,1,1,0,0,0,Group
Morocco,Scotland,3,0,3,1,0,Group
Norway,Brazil,2,1,1,1,0,Group
Denmark,France,1,2,-1,0,1,Group
SaudiArabia,SouthAfrica,2,2,0,0,0,Group
Bulgaria,Spain,1,6,-5,0,1,Group
Paraguay,Nigeria,3,1,2,1,0,Group
Korea,Belgium,1,1,0,0,0,Group
Mexico,Netherlands,2,2,0,0,0,Group
Iran,Germany,0,2,-2,0,1,Group
Yugoslavia,UnitedStates,1,0,1,1,0,Group
Jamaica,Japan,2,1,1,1,0,Group
Croatia,Argentina,0,1,-1,0,1,Group
Tunisia,Romania,1,1,0,0,0,Group
England,Colombia,2,0,2,1,0,Group
Norway,Italy,0,1,-1,0,1,Round of Sixteen
Chile,Brazil,1,4,-3,0,1,Round of Sixteen
Paraguay,France,0,1,-1,0,1,Round of Sixteen
Denmark,Nigeria,4,1,3,1,0,Round of Sixteen
Mexico,Germany,1,2,-1,0,1,Round of Sixteen
Yugoslavia,Netherlands,1,2,-1,0,1,Round of Sixteen
Croatia,Romania,1,0,1,1,0,Round of Sixteen
England,Argentina,2,2,0,0,0,Round of Sixteen
France,Italy,0,0,0,0,0,Quarter Finals
Denmark,Brazil,2,3,-1,0,1,Quarter Finals
Argentina,Netherlands,1,2,-1,0,1,Quarter Finals
Croatia,Germany,3,0,3,1,0,Quarter Finals
Netherlands,Brazil,1,1,0,0,0,Semi Finals
Croatia,France,1,2,-1,0,1,Semi Finals
Croatia,Netherlands,2,1,1,1,0,Third Place
France,Brazil,3,0,3,1,0,Winner
